#1_id	#2_content	#3_label
TRAIN_983	أنا وطن بحاجة إلى شعب . . تعالي واسكنيني .	pos
TRAIN_1430	#احذرو_الرافضه_غدر_وخيانه الرافضة شر وبال على الأمة الإسلامية غدرهم على مر التاريخ مشهود ومنقول كبيرهم أبو لولؤ المجوسي ال …	neg
TRAIN_461	كلما راجعت أحلام الصبا قلت يا ليت الصبا لم يزل ! أيها القلب الذي في أضلعي إنما اللذة جهلا فاجهل ايليا ابو ماضي	pos
TRAIN_962	مؤلم جدا عندما يبتعد أقرب أصدقائك بسبب أصدقاء جدد	neg
TRAIN_1445	USER معنه ليلحين احس مابردت چبدي عدل بس اهم شي وصلت الفكره . وعذرا فلورزي الأعزاء على الإطاله 💛 .	neg
TRAIN_133	جيرمين - اسم مايع لهى محصله جيهان ولهى محصله نرمين 😂 😂	neut
TRAIN_185	نواف العابد وفهد المولد في افضل ايامهم مع المنتخب والنادي	pos
TRAIN_844	ما عشت لذة الكلام إلا #معاك || ما اشبعك ما املك ، وما اكتفيك ! ٰ #مزاجيات || 🌹 ✨	pos
TRAIN_551	USER ي خي فاهي بس مدري بشوف وبعلمك 😂 اذا بتضيفين ضيفي زياد العمري الخبل	pos
TRAIN_1009	أسماء القرعة التكميلية لمشروع حمد غدا الساعة 11 صباحا	neut
TRAIN_1315	USER حلاة الشي ندرة وجوده 😇 هاهها 😂 اي لف يوو 💕	pos
TRAIN_1295	يسألني الكثير عبر الدايركت عن رأيي الشخصي بخصوص موضوع الإستفتاء ، وغدا ان شاء الله سأجيب الجميع عبر السناب شات . https : / …	neut
TRAIN_971	نتمنى انشاء قانون خالي من المنتجات الإسرائيلية ، مثلما خالي من مشتقات الخنزير .	neg
TRAIN_583	بعض البنات اللي تطلع شعرها من الطرحه ويعنني كشخه ترى انتي في نظرنا مثل السبيكه اللي سرواله اطول من ثوبه 😂 😂	pos
TRAIN_488	سوالفي ب النسبة ل أمي زي إعلانات اليوتيوب دايم تسوي لها تخطي 🚶	neg
